,country,director,major character,title,type,year
136,美国,李·昂克里奇,汤姆·汉克斯 Tom Hanks / 蒂姆·艾..,玩具总动员3 / Toy Story 3 / 反斗奇兵3(港)  /  玩具的故事3,喜剧 动画 奇幻 冒险,2010
137,中国大陆,王树忱,丁建华 Jianhua Din..,天书奇谭 / The Legend of Sealed Book  /  Secrets of the Heavenly Book,动画 奇幻,1983(中国大陆)
138,法国 英国 美国,乔·怀特,凯拉·奈特莉 Keira Knightley / 马修·..,傲慢与偏见 / Pride & Prejudice / 傲慢与偏见2005  /  Pride And Prejudice,剧情 爱情,2005
139,美国 澳大利亚,梅尔·吉布森,安德鲁·加菲尔德 Andrew Garfield /..,血战钢锯岭 / Hacksaw Ridge / 钢锯岭  /  钢铁英雄(台),剧情 传记 历史 战争,2016
140,美国,弗朗西斯·福特·科波拉,阿尔·帕西诺 A..,教父3 / The Godfather: Part III / 教父第三集  /  教父 III,剧情 犯罪,1990
141,英国,理查德·柯蒂斯,多姆纳尔·格里森 Domhnall Gl..,时空恋旅人 / About Time / 时空旅恋人  /  回到最爱的一天(港),喜剧 爱情 奇幻,2013
142,日本,宫崎骏,岛本须美 Sumi Shimamoto / 松田洋治 Y..,风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika,动画 奇幻 冒险,1984
143,英国 美国,Alfonso,丹尼尔·雷德克里夫 Daniel Radcliffe / Emma..,哈利·波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of Azkaban / 哈利波特3:阿兹卡班的逃犯(港 / 台),奇幻 冒险,2004
144,韩国,延尚昊,孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马..,釜山行 / 부산행 / 尸杀列车(港)  /  尸速列车(台),动作 惊悚 灾难,2016
145,美国,詹姆斯·温,雷·沃纳尔 Leigh Whannell / 加利·艾..,电锯惊魂 / Saw / 夺魂锯(台)  /  恐惧斗室(港),悬疑 惊悚 恐怖,2004
146,中国大陆,严定宪,梁正晖 Zhenghui ..,哪吒闹海 / Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,冒险 动画 奇幻,1979
147,巴西 法国,费尔南多·梅里尔斯,,上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台),犯罪 剧情,2002
148,美国,昆汀·塔伦蒂诺,杰米·福克斯 Jamie Foxx /..,被解救的姜戈 / Django Unchained / 被解放的姜戈  /  决杀令(台),剧情 动作 西部 冒险,2012
149,中国台湾 美国,李安,赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚..,喜宴 / 囍宴 / The Wedding Banquet,剧情 喜剧 爱情 同性 家庭,1993
150,日本,黑泽明,三船敏郎 Toshirô Mifune / 志村乔 ..,七武士 / 七人の侍 / 七侠四义(港)  /  七剑客(港),动作 冒险 剧情,1954
